timestamp,temperature_difference
2022-05-21 00:00:00+02:00,0.14
2022-05-21 00:01:00+02:00,0.13
2022-05-21 00:02:00+02:00,0.3
2022-05-21 00:03:00+02:00,0.14
2022-05-21 00:04:00+02:00,0.25
2022-05-21 00:05:00+02:00,0.23
2022-05-21 00:06:00+02:00,0.25
2022-05-21 00:07:00+02:00,0.52
2022-05-21 00:08:00+02:00,0.5
2022-05-21 00:09:00+02:00,0.52
2022-05-21 00:10:00+02:00,0.6
2022-05-21 00:11:00+02:00,0.73
2022-05-21 00:12:00+02:00,0.83
2022-05-21 00:13:00+02:00,0.88
2022-05-21 00:14:00+02:00,0.81
2022-05-21 00:15:00+02:00,0.79
2022-05-21 00:16:00+02:00,0.79
2022-05-21 00:17:00+02:00,0.78
2022-05-21 00:18:00+02:00,0.76
2022-05-21 00:19:00+02:00,0.72
2022-05-21 00:20:00+02:00,0.7
2022-05-21 00:21:00+02:00,0.67
2022-05-21 00:22:00+02:00,0.56
2022-05-21 00:23:00+02:00,0.62
2022-05-21 00:24:00+02:00,0.65
2022-05-21 00:25:00+02:00,0.67
2022-05-21 00:26:00+02:00,0.7
2022-05-21 00:27:00+02:00,0.72
2022-05-21 00:28:00+02:00,0.61
2022-05-21 00:29:00+02:00,0.66
2022-05-21 00:30:00+02:00,0.58
2022-05-21 00:31:00+02:00,0.54
2022-05-21 00:32:00+02:00,0.69
2022-05-21 00:33:00+02:00,0.75
2022-05-21 00:34:00+02:00,0.84
2022-05-21 00:35:00+02:00,0.92
2022-05-21 00:36:00+02:00,0.99
2022-05-21 00:37:00+02:00,1.03
2022-05-21 00:38:00+02:00,1.08
2022-05-21 00:39:00+02:00,1.1
2022-05-21 00:40:00+02:00,1.12
2022-05-21 00:41:00+02:00,1.15
2022-05-21 00:42:00+02:00,1.17
2022-05-21 00:43:00+02:00,1.16
2022-05-21 00:44:00+02:00,1.14
2022-05-21 00:45:00+02:00,1.17
2022-05-21 00:46:00+02:00,1.16
2022-05-21 00:47:00+02:00,1.18
2022-05-21 00:48:00+02:00,1.15
2022-05-21 00:49:00+02:00,1.14
2022-05-21 00:50:00+02:00,1.16
2022-05-21 00:51:00+02:00,1.16
2022-05-21 00:52:00+02:00,1.14
2022-05-21 00:53:00+02:00,1.15
2022-05-21 00:54:00+02:00,1.15
2022-05-21 00:55:00+02:00,1.16
2022-05-21 00:56:00+02:00,1.18
2022-05-21 00:57:00+02:00,1.21
2022-05-21 00:58:00+02:00,1.23
2022-05-21 00:59:00+02:00,1.22
2022-05-21 01:00:00+02:00,1.24
2022-05-21 01:01:00+02:00,1.24
2022-05-21 01:02:00+02:00,1.09
2022-05-21 01:03:00+02:00,0.92
2022-05-21 01:04:00+02:00,0.82
2022-05-21 01:05:00+02:00,0.72
2022-05-21 01:06:00+02:00,0.64
2022-05-21 01:07:00+02:00,0.56
2022-05-21 01:08:00+02:00,0.49
2022-05-21 01:09:00+02:00,0.45
2022-05-21 01:10:00+02:00,0.4
2022-05-21 01:11:00+02:00,0.31
2022-05-21 01:12:00+02:00,0.28
2022-05-21 01:13:00+02:00,0.22
2022-05-21 01:14:00+02:00,0.08
2022-05-21 01:15:00+02:00,-0.01
2022-05-21 01:16:00+02:00,-0.12
2022-05-21 01:17:00+02:00,-0.23
2022-05-21 01:18:00+02:00,-0.11
2022-05-21 01:19:00+02:00,0.01
2022-05-21 01:20:00+02:00,0.11
2022-05-21 01:21:00+02:00,0.12
2022-05-21 01:22:00+02:00,0.16
2022-05-21 01:23:00+02:00,0.19
2022-05-21 01:24:00+02:00,0.23
2022-05-21 01:25:00+02:00,0.25
2022-05-21 01:26:00+02:00,0.27
2022-05-21 01:27:00+02:00,0.27
2022-05-21 01:28:00+02:00,0.32
2022-05-21 01:29:00+02:00,0.47
2022-05-21 01:30:00+02:00,0.58
2022-05-21 01:31:00+02:00,0.75
2022-05-21 01:32:00+02:00,0.92
2022-05-21 01:33:00+02:00,1.06
2022-05-21 01:34:00+02:00,1.18
2022-05-21 01:35:00+02:00,1.29
2022-05-21 01:36:00+02:00,1.38
2022-05-21 01:37:00+02:00,1.47
2022-05-21 01:38:00+02:00,1.57
2022-05-21 01:39:00+02:00,1.62
2022-05-21 01:40:00+02:00,1.65
2022-05-21 01:41:00+02:00,1.69
2022-05-21 01:42:00+02:00,1.74
2022-05-21 01:43:00+02:00,1.77
2022-05-21 01:44:00+02:00,1.8
2022-05-21 01:45:00+02:00,1.83
2022-05-21 01:46:00+02:00,1.85
2022-05-21 01:47:00+02:00,1.88
2022-05-21 01:48:00+02:00,1.9
2022-05-21 01:49:00+02:00,1.9
2022-05-21 01:50:00+02:00,1.95
2022-05-21 01:51:00+02:00,1.97
2022-05-21 01:52:00+02:00,1.98
2022-05-21 01:53:00+02:00,1.99
2022-05-21 01:54:00+02:00,2.02
2022-05-21 01:55:00+02:00,2.04
2022-05-21 01:56:00+02:00,2.07
2022-05-21 01:57:00+02:00,2.08
2022-05-21 01:58:00+02:00,2.1
2022-05-21 01:59:00+02:00,2.12
2022-05-21 02:00:00+02:00,2.14
2022-05-21 02:01:00+02:00,2.15
2022-05-21 02:02:00+02:00,2.17
2022-05-21 02:03:00+02:00,2.01
2022-05-21 02:04:00+02:00,1.83
2022-05-21 02:05:00+02:00,1.65
2022-05-21 02:06:00+02:00,1.47
2022-05-21 02:07:00+02:00,1.32
2022-05-21 02:08:00+02:00,1.18
2022-05-21 02:09:00+02:00,1.06
2022-05-21 02:10:00+02:00,0.93
2022-05-21 02:11:00+02:00,0.81
2022-05-21 02:12:00+02:00,0.72
2022-05-21 02:13:00+02:00,0.61
2022-05-21 02:14:00+02:00,0.55
2022-05-21 02:15:00+02:00,0.48
2022-05-21 02:16:00+02:00,0.41
2022-05-21 02:17:00+02:00,0.34
2022-05-21 02:18:00+02:00,0.27
2022-05-21 02:19:00+02:00,0.22
2022-05-21 02:20:00+02:00,0.18
2022-05-21 02:21:00+02:00,0.12
2022-05-21 02:22:00+02:00,0.07
2022-05-21 02:23:00+02:00,0.03
2022-05-21 02:24:00+02:00,-0.01
2022-05-21 02:25:00+02:00,-0.04
2022-05-21 02:26:00+02:00,-0.08
2022-05-21 02:27:00+02:00,-0.12
2022-05-21 02:28:00+02:00,-0.17
2022-05-21 02:29:00+02:00,-0.21
2022-05-21 02:30:00+02:00,-0.26
2022-05-21 02:31:00+02:00,-0.29
2022-05-21 02:32:00+02:00,-0.31
2022-05-21 02:33:00+02:00,-0.34
2022-05-21 02:34:00+02:00,-0.36
2022-05-21 02:35:00+02:00,-0.37
2022-05-21 02:36:00+02:00,-0.39
2022-05-21 02:37:00+02:00,-0.39
2022-05-21 02:38:00+02:00,-0.44
2022-05-21 02:39:00+02:00,-0.45
2022-05-21 02:40:00+02:00,-0.42
2022-05-21 02:41:00+02:00,-0.39
2022-05-21 02:42:00+02:00,-0.39
2022-05-21 02:43:00+02:00,-0.36
2022-05-21 02:44:00+02:00,-0.34
2022-05-21 02:45:00+02:00,-0.37
2022-05-21 02:46:00+02:00,-0.37
2022-05-21 02:47:00+02:00,-0.37
2022-05-21 02:48:00+02:00,-0.33
2022-05-21 02:49:00+02:00,-0.3
2022-05-21 02:50:00+02:00,-0.29
2022-05-21 02:51:00+02:00,-0.27
2022-05-21 02:52:00+02:00,-0.29
2022-05-21 02:53:00+02:00,-0.29
2022-05-21 02:54:00+02:00,-0.28
2022-05-21 02:55:00+02:00,-0.3
2022-05-21 02:56:00+02:00,-0.35
2022-05-21 02:57:00+02:00,-0.42
2022-05-21 02:58:00+02:00,-0.44
2022-05-21 02:59:00+02:00,-0.45
2022-05-21 03:00:00+02:00,-0.43
2022-05-21 03:01:00+02:00,-0.45
2022-05-21 03:02:00+02:00,-0.5
2022-05-21 03:03:00+02:00,-0.49
2022-05-21 03:04:00+02:00,-0.5
2022-05-21 03:05:00+02:00,-0.33
2022-05-21 03:06:00+02:00,-0.16
2022-05-21 03:07:00+02:00,-0.17
2022-05-21 03:08:00+02:00,-0.12
2022-05-21 03:09:00+02:00,-0.08
2022-05-21 03:10:00+02:00,-0.05
2022-05-21 03:11:00+02:00,-0.04
2022-05-21 03:12:00+02:00,0.02
2022-05-21 03:13:00+02:00,0.01
2022-05-21 03:14:00+02:00,-0.01
2022-05-21 03:15:00+02:00,-0.08
2022-05-21 03:16:00+02:00,-0.12
2022-05-21 03:17:00+02:00,0.01
2022-05-21 03:18:00+02:00,0.0
2022-05-21 03:19:00+02:00,-0.02
2022-05-21 03:20:00+02:00,-0.02
2022-05-21 03:21:00+02:00,-0.04
2022-05-21 03:22:00+02:00,-0.04
2022-05-21 03:23:00+02:00,0.02
2022-05-21 03:24:00+02:00,0.06
2022-05-21 03:25:00+02:00,0.09
2022-05-21 03:26:00+02:00,0.14
2022-05-21 03:27:00+02:00,0.18
2022-05-21 03:28:00+02:00,0.2
2022-05-21 03:29:00+02:00,0.22
2022-05-21 03:30:00+02:00,0.28
2022-05-21 03:31:00+02:00,0.33
2022-05-21 03:32:00+02:00,0.38
2022-05-21 03:33:00+02:00,0.4
2022-05-21 03:34:00+02:00,0.42
2022-05-21 03:35:00+02:00,0.43
2022-05-21 03:36:00+02:00,0.46
2022-05-21 03:37:00+02:00,0.48
2022-05-21 03:38:00+02:00,0.49
2022-05-21 03:39:00+02:00,0.5
2022-05-21 03:40:00+02:00,0.54
2022-05-21 03:41:00+02:00,0.55
2022-05-21 03:42:00+02:00,0.56
2022-05-21 03:43:00+02:00,0.57
2022-05-21 03:44:00+02:00,0.59
2022-05-21 03:45:00+02:00,0.6
2022-05-21 03:46:00+02:00,0.63
2022-05-21 03:47:00+02:00,0.65
2022-05-21 03:48:00+02:00,0.68
2022-05-21 03:49:00+02:00,0.69
2022-05-21 03:50:00+02:00,0.73
2022-05-21 03:51:00+02:00,0.75
2022-05-21 03:52:00+02:00,0.76
2022-05-21 03:53:00+02:00,0.78
2022-05-21 03:54:00+02:00,0.79
2022-05-21 03:55:00+02:00,0.81
2022-05-21 03:56:00+02:00,0.79
2022-05-21 03:57:00+02:00,0.78
2022-05-21 03:58:00+02:00,0.73
2022-05-21 03:59:00+02:00,0.69
2022-05-21 04:00:00+02:00,0.67
2022-05-21 04:01:00+02:00,0.66
2022-05-21 04:02:00+02:00,0.68
2022-05-21 04:03:00+02:00,0.67
2022-05-21 04:04:00+02:00,0.66
2022-05-21 04:05:00+02:00,0.64
2022-05-21 04:06:00+02:00,0.61
2022-05-21 04:07:00+02:00,0.59
2022-05-21 04:08:00+02:00,0.58
2022-05-21 04:09:00+02:00,0.47
2022-05-21 04:10:00+02:00,0.34
2022-05-21 04:11:00+02:00,0.2
2022-05-21 04:12:00+02:00,0.1
2022-05-21 04:13:00+02:00,0.01
2022-05-21 04:14:00+02:00,-0.06
2022-05-21 04:15:00+02:00,-0.13
2022-05-21 04:16:00+02:00,-0.18
2022-05-21 04:17:00+02:00,-0.24
2022-05-21 04:18:00+02:00,-0.28
2022-05-21 04:19:00+02:00,-0.34
2022-05-21 04:20:00+02:00,-0.41
2022-05-21 04:21:00+02:00,-0.45
2022-05-21 04:22:00+02:00,-0.48
2022-05-21 04:23:00+02:00,-0.46
2022-05-21 04:24:00+02:00,-0.47
2022-05-21 04:25:00+02:00,-0.49
2022-05-21 04:26:00+02:00,-0.53
2022-05-21 04:27:00+02:00,-0.57
2022-05-21 04:28:00+02:00,-0.58
2022-05-21 04:29:00+02:00,-0.61
2022-05-21 04:30:00+02:00,-0.65
2022-05-21 04:31:00+02:00,-0.68
2022-05-21 04:32:00+02:00,-0.71
2022-05-21 04:33:00+02:00,-0.74
2022-05-21 04:34:00+02:00,-0.79
2022-05-21 04:35:00+02:00,-0.79
2022-05-21 04:36:00+02:00,-0.74
2022-05-21 04:37:00+02:00,-0.73
2022-05-21 04:38:00+02:00,-0.72
2022-05-21 04:39:00+02:00,-0.71
2022-05-21 04:40:00+02:00,-0.71
2022-05-21 04:41:00+02:00,-0.76
2022-05-21 04:42:00+02:00,-0.72
2022-05-21 04:43:00+02:00,-0.7
2022-05-21 04:44:00+02:00,-0.66
2022-05-21 04:45:00+02:00,-0.72
2022-05-21 04:46:00+02:00,-0.77
2022-05-21 04:47:00+02:00,-0.85
2022-05-21 04:48:00+02:00,-0.88
2022-05-21 04:49:00+02:00,-0.88
2022-05-21 04:50:00+02:00,-0.9
2022-05-21 04:51:00+02:00,-0.93
2022-05-21 04:52:00+02:00,-0.51
2022-05-21 04:53:00+02:00,-0.19
2022-05-21 04:54:00+02:00,0.03
2022-05-21 04:55:00+02:00,0.23
2022-05-21 04:56:00+02:00,0.4
2022-05-21 04:57:00+02:00,0.56
2022-05-21 04:58:00+02:00,0.68
2022-05-21 04:59:00+02:00,0.82
2022-05-21 05:00:00+02:00,0.94
2022-05-21 05:01:00+02:00,1.05
2022-05-21 05:02:00+02:00,1.15
2022-05-21 05:03:00+02:00,1.23
2022-05-21 05:04:00+02:00,1.3
2022-05-21 05:05:00+02:00,1.38
2022-05-21 05:06:00+02:00,1.26
2022-05-21 05:07:00+02:00,1.0
2022-05-21 05:08:00+02:00,0.91
2022-05-21 05:09:00+02:00,0.93
2022-05-21 05:10:00+02:00,0.97
2022-05-21 05:11:00+02:00,1.05
2022-05-21 05:12:00+02:00,1.12
2022-05-21 05:13:00+02:00,1.2
2022-05-21 05:14:00+02:00,1.27
2022-05-21 05:15:00+02:00,1.31
2022-05-21 05:16:00+02:00,1.38
2022-05-21 05:17:00+02:00,1.44
2022-05-21 05:18:00+02:00,1.48
2022-05-21 05:19:00+02:00,1.5
2022-05-21 05:20:00+02:00,1.54
2022-05-21 05:21:00+02:00,1.56
2022-05-21 05:22:00+02:00,1.6
2022-05-21 05:23:00+02:00,1.62
2022-05-21 05:24:00+02:00,1.64
2022-05-21 05:25:00+02:00,1.61
2022-05-21 05:26:00+02:00,1.61
2022-05-21 05:27:00+02:00,1.6
2022-05-21 05:28:00+02:00,1.58
2022-05-21 05:29:00+02:00,1.57
2022-05-21 05:30:00+02:00,1.55
2022-05-21 05:31:00+02:00,1.54
2022-05-21 05:32:00+02:00,1.5
2022-05-21 05:33:00+02:00,1.46
2022-05-21 05:34:00+02:00,1.41
2022-05-21 05:35:00+02:00,1.39
2022-05-21 05:36:00+02:00,1.37
2022-05-21 05:37:00+02:00,1.33
2022-05-21 05:38:00+02:00,1.27
2022-05-21 05:39:00+02:00,1.21
2022-05-21 05:40:00+02:00,1.17
2022-05-21 05:41:00+02:00,1.11
2022-05-21 05:42:00+02:00,1.06
2022-05-21 05:43:00+02:00,0.85
2022-05-21 05:44:00+02:00,0.68
2022-05-21 05:45:00+02:00,0.54
2022-05-21 05:46:00+02:00,0.39
2022-05-21 05:47:00+02:00,0.26
2022-05-21 05:48:00+02:00,0.15
